iso3,mode_id,specification,definition,restriction_warning,wing
CPV,A02a,Person is born in Cape Verde to parents who have been habitually resident for at least 5 years and are not in the service of another state.,NA,parent-residence,parentage
CRI,A02a,"Person is born in Costa Rica to non-citizens and is registered as a citizen by a parent during minority, or registers him/herself before reaching the age of 25.",NA,NA,parentage
CUB,A02a,Person is born in Cuba. Unless parents are foreign diplomats or employees of an international organization.,NA,NA,parentage
DEU,A02a,"Person is born in Germany to a citizen of another country who has been resident in Germany for 8 years, or to a citizen of Switzerland who holds a permanent residence permit.",NA,parent-residence,parentage
DMA,A02a,"Person is born in Dominica. Unless born to a foreign diplomat and neither parent is a citizen, or one of the parents is an enemy alien and the child is born in a place then under occupation by the enemy.",NA,NA,parentage
DOM,A02a,"Person is born in the DR. Unless born to foreign diplomats, foreigners 'in transit', and those residing illegally in the country.",NA,parent-residence,parentage
ECU,A02a,Person is born in Ecuador.,NA,NA,parentage
GBR,A02a,Person is born in the UK to a parent who is resident there without immigration restrictions.,NA,parent-residence,parentage
GNB,A02a,"Person is born in Guinea-Bissau to Lusophone parents. Both parents must be foreign citizens with the citizenship of a Portuguese Speaking State, i.e. Angola, Brazil, Cape Verde, Equatorial Guinea, Mozambique, Portugal, S<8b>o Tom<8e> and Pr<92>ncipe, and Timor-Leste.",NA,group,parentage
GRC,A02a,"Person is registered at the 1st class of a Greek primary school and continues to attend this school at the time of declaration of nationality acquisition, is born to parents who both have lawful residence  in Greece at the moment the nationality declaration is made, and at least one of his/her parents has had lawful residence in Greece for a minimum of five years before birth. If the child is born before the lapse of the five years<d5> residence, Greek nationality may be acquired after a period of 10 years of continuous lawful residence of the parent. Exceptions may apply if child is disabled. 
",NA,parent-residence,parentage
GRD,A02a,"Person is born in Grenada, unless born to a foreign diplomat and neither parent is a citizen, or one of the parents is an enemy alien and the child is born in a place then under occupation by the enemy.",NA,NA,parentage
GTM,A02a,Person is born in Guatemala. Unless parents are foreign diplomats.,NA,NA,parentage
GUY,A02a,"Person is born in Guyana. Unless born to a foreign diplomat and neither parent is a citizen, or one of the parents is an enemy alien and the child is born in a place then under occupation by the enemy.",NA,NA,parentage
HND,A02a,Person is born in Honduras. Unless parents are foreign diplomats. Explicitly includes stateless children.,NA,NA,parentage
HTI,A02a,"Person is born in Haiti to a father who is an alien and of the African race, or, in case of non-recognition, to a mother who is an alien and of the African race.",NA,group,parentage
IRL,A02a,"Person is born in Ireland to a citizen, or to a person with permanent residence in Ireland or the UK, or to a person who was resident in Ireland for 3 out of the last 4 years.",NA,parent-residence,parentage
ISR,A02a,"Person is born in Israel after the establishment of the State (citizenship 'by return'). This only applies if at least one parent was registered in the Population Register at the time of the person's birth (see ISR 2(c)(5)). The clause means that the 1950 Law of Return only applies to these individuals, who must necessarily be Jewish). It does not provide a form of ius soli.",NA,group,parentage
JAM,A02a,"Person is born in Jamaica. Unless born to a foreign diplomat and neither parent is a citizen, or one of the parents is an enemy alien and child is born in a place then under occupation by the enemy. Person is deemed to be born in the country if at the time of birth the mother is a citizen residing abroad in the diplomatic service of Jamaica, or if -regardless whether she is a citizen- the mother resides abroad as the spouse of a citizen who works in the diplomatic service of Jamaica.",NA,NA,parentage
KNA,A02a,"Person is born in St Kitts. Unless born to a foreign diplomat and neither parent is a citizen, or one of the parents is an enemy alien and child is born in a place then under occupation by the enemy.",NA,NA,parentage
LBR,A02a,Person is born in Liberia and is a Negro or of Negro descent.,NA,group,parentage
LCA,A02a,"Person is born in St Lucia. Unless born to a father who is a foreign diplomat and neither parent is a citizen, or the father is an enemy alien and the child is born in a place then under occupation by the enemy.",NA,NA,parentage
LSO,A02a,"Person is born in Lesotho. Unless one parent has diplomatic status, or the parent is an enemy alien and the child is born in a place controlled by the enemy, and the other parent is not a citizen.",NA,NA,parentage
MDA,A02a,Person is born in Moldova to foreign parents or to one foreign parent and the other parent is stateless or a beneficiary of international protection.,NA,NA,parentage
MEX,A02a,Person is born in Mexico.,NA,NA,parentage
MOZ,A02a,"Person is born in Mozambique after independence. Other conditions: if one parent is in the employment of another country, the person must declare that s/he wishes to be Mozambican either through legal representatives or on own behalf, during the year after s/he turns 18.",NA,NA,parentage
MYS,A02a,"Person is born in Malaysia to a permanently resident foreigner. Unless born to a father who is a foreign diplomat, or the father is an enemy alien and the child is born in a place then under occupation by the enemy.",NA,parent-residence,parentage
"NAM",A02a,"Person is born in Namibia to a person who is ordinarily resident at the time of birth. Other conditions: parents are not enjoying diplomatic immunity, nor represent another country, nor members of any police or military unit seconded for service in Namibia, nor illegal immigrants.",NA,parent-residence,parentage
NIC,A02a,"Person is born in Nicaragua. Unless born to foreign diplomats, foreign employees of international organizations, or those sent by their national governments to work in Nicaragua.",NA,NA,parentage
PAK,A02a,"Person is born in Pakistan. Unless born to a father who is a foreign diplomat and not a citizen of Pakistan, or the father is an enemy alien and the child is born in a place then under occupation by the enemy.",NA,NA,parentage
PAN,A02a,Person is born in Panama.,NA,NA,parentage
PER,A02a,Person is born in Peru.,NA,NA,parentage
PRT,A02a,"Person is a descendant of foreigners that are not in the service of the respective State, does not declare he/she do not want to be a Portuguese citizen and at least one of the parents resided legally in Portugal for at least two years at the time of his/her birth.",NA,parent-residence,parentage
PRY,A02a,Person is born in Paraguay.,NA,NA,parentage
SLV,A02a,Person is born in El Salvador.,NA,NA,parentage
STP,A02a,Person is born in STP to foreign parents who reside there and are not in the service of another state.,NA,parent-residence,parentage
TCD,A02a,Person is born in Chad.,NA,NA,parentage
TTO,A02a,"Person is born in Trinidad and Tobago. Unless born to a foreign diplomat and neither parent is a citizen, or one of the parents is an enemy alien and the child is born in a place then under occupation by the enemy.",NA,NA,parentage
TUV,A02a,"A person born in Tuvalu on or after the date the Constitution took effect (1 October 1986) is a citizen of Tuvalu by birth. Exceptions: If neither parent is a citizen and person's father (or mother if born outside marriage) was a diplomat in Tuvalu, or neither parent is a citizen and person's father (or mother if born outside marriage) was a citizen of a country at war and birth occurred in occupied territory.",NA,NA,parentage
TZA,A02a,"Person is born in Tanzania unless father has diplomatic immunity and mother is not a citizen, or either parent is an enemy and birth takes place in territory occupied by the enemy. (Note: in practice, the notional provision is not applied and has been overruled by the state's legal office. The Tanzanian authorities thus interpret the ius soli provision to require one parent to be a citizen.)",NA,NA,parentage
UGA,A02a,"Person is born in Uganda and one parent or grandparent is or was a member of one of the indigenous groups residing within borders of Uganda as established in 1926 and set out in the 3rd Schedule.; Person is born in Uganda and neither parent nor any grandparent had either diplomatic or refugee status in Uganda, and the person has been continuously resident since 1962.",NA,group,parentage
URY,A02a,Person is born in Uruguay.,NA,NA,parentage
USA,A02a,"Person is born in the United States, Puerto Rico, the US Virgin Islands or Guam.;
Person is born in an outlying possession of the United States to a parent who is a citizen and who has been physically present in the United States or one of its outlying possessions for a continuous period of 1 year at any time prior to the person's birth.;
Person born in 'outlying possessions' (defined to include American Samoa only) are nationals but not citizens at birth.",NA,NA,parentage
VCT,A02a,"Person is born in St Vincent. Unless born to a foreign diplomat and neither parent is a citizen, or one of the parents is an enemy alien and child is born in a place then under occupation by the enemy. Citizenship Act declares that the mother, specifically, must be a citizen.",NA,NA,parentage
VEN,A02a,Person is born in Venezuela.,NA,NA,parentage
XKX,A02a,Person is born to parents of another country who have a permanent residence permit in Kosovo and they give their consent to acquisition of citizenship.,NA,parent-residence,parentage
BEL,A02b,Person is born in Belgium to a person who was also born in Belgium and resided legally there at least five of the ten years preceding the person's birth.,NA,parent-residence,parentage
BEN,A02b,Person is born in Benin to a person who was also born in Benin (with right to repudiate before majority if the parent born in Benin was the mother).,NA,NA,parentage
BFA,A02b,Person is born in Burkina Faso to a person who was also born there.,NA,NA,parentage
BRN,A02b,"Person is born in Brunei to a father and mother who were both born in Brunei and are members of any of the groups of people specified in the 1st Schedule (i.e. people who are indigenous to Brunei, but note that the list is longer than the indigenous people referred to under BRU 4(1)a).",NA,group,parentage
CMR,A02b,Person is born in Cameroon of one parent who was also born there.,NA,NA,parentage
COG,A02b,Person is born in the country and either one of the parents or both parents were also born in the country.,NA,NA,parentage
ESP,A02b,Person is born in Spain to a person who was also born there.,NA,NA,parentage
FRA,A02b,Person is born in France to a person who was also born there.,NA,NA,parentage
GAB,A02b,"Person is born in Gabon to a parent who was also born there or, if born out of wedlock, when the parent whose parentage is first established was also born there.",NA,NA,parentage
GIN,A02b,Person is born to a parent who was also born there.,NA,NA,parentage
GRC,A02b,Person is born in Greece to at least one parent also born there and permanently resident in Greece at the time of the person's birth.,NA,parent-residence,parentage
IRN,A02b,Person born in the territory whose parents are noncitizens and at least one of the parents is also born in Iran,NA,NA,parentage
KHM,A02b,Person is born in Cambodia to a mother and father who were also born there and who are legally resident there.,NA,parent-residence,parentage
LUX,A02b,Person is born in Luxembourg to a person who was also born there.,NA,NA,parentage
MAR,A02b,Person is a minor who is born in Morocco and whose father was also born in the country. Other conditions: person resides in Morocco and the father comes from a country of Arab and Muslim majority and also belongs to this group.,NA,group,parentage
MLI,A02b,Person is born in Mali to a parent also born there who is a citizen of another African state.,NA,group,parentage
MOZ,A02b,Person is born in Mozambique of one parent also born there.,NA,NA,parentage
NER,A02b,Person is born in Niger to a parent who was also born there.,NA,NA,parentage
NLD,A02b,Person is born to a parent who is resident in the Netherlands at the time of the person's birth and who was him/herself also born to a parent who was resident in the Netherlands at the time of his/her birth. Person must also be resident in the Netherlands at the time of birth.,NA,parent-residence,parentage
PRT,A02b,Person is born in Portugal to a person who was also born there and who is resident there (legal or illegal residence).,NA,parent-residence,parentage
SEN,A02b,Person is born in Senegal to a parent also born there.,NA,NA,parentage
SLE,A02b,Person is born in Sierra Leone and one parent or any grandparent was also born there and is of negro African descent.,NA,group,parentage
TGO,A02b,Person is born in Togo to parents who were both born there and has habitual residence in Togo and apparent status (possession d'etat) as Togoloese.,NA,father-citizen,parentage
TLS,A02b,Person is born in Timor-Leste to a person also born there.,NA,NA,parentage
TUN,A02b,Person born in Tunisia whose non-Tunisian father and grandfather was also born in Tunisia.,NA,father-citizen,parentage
YEM,A02b,Person is born in Yemen to a father who was also born in the country.,NA,father-citizen,parentage
AFG,A03b,Person is found in Afghanistan and documents prove that the child cannot acquire the parents' citizenship.,stateless,NA,other
AGO,A03b,"Person is born in territory and does not possess any other citizenship, or person is born in territory of parents who are stateless or of unknown citizenship.",stateless,NA,other
ARM,A03b,Person is born in Armenia to stateless parents or parents whose nationality is unknown or parents who cannot transfer their citizenship to their child.,stateless,NA,other
ATG,A03b,"Person is a minor or adult who was born in Antigua and Barbuda and has always been stateless. Registration can be denied in the interests of defense or public order, if the person is sentenced to death or to a prison sentence of at least 12 months, is not of good character, is a danger to public safety, has been declared bankrupt, or has insufficient means to support him/herself.",stateless,NA,other
AUS,A03b,"Person has never been the national or citizen of any other country, and is 'not entitled to acquire' the nationality or citizenship of a foreign country.",stateless,NA,other
AUT,A03b,"Person was born in Austria, has been stateless since birth and resident in Austria for at least 10 years, 5 years of them uninterrupted and immediately before the application. Application for citizenship at the age of 18 or 19. Other condition: not convicted for certain crimes.",stateless,father-birth,other
AZE,A03b,Person is born in Azerbaijan to parents who are both stateless.,stateless,parent-residence,other
BEL,A03b,Person is born in Belgium and is not entitled to citizenship of another country.,stateless,NA,other
BEN,A03b,Person is born in Benin to parents who are unknown or stateless and the person would otherwise be stateless.,stateless,parent-residence,other
BFA,A03b,Person is born in Burkina Faso and cannot claim any other citizenship.,stateless,NA,other
BGR,A03b,Person is born in Bulgaria and does not acquire citizenship of another country by descent.,stateless,NA,other
BIH,A03b,"Person is born in BiH to parents of unknown citizenship or without citizenship, or the child would otherwise be stateless.",stateless,NA,other
BLR,A03b,Person is born in Belarus to stateless parents (or a stateless single parent) and the child cannot acquire another citizenship by descent or parents are foreign citizens and cannot transfer citizenship to their child.,stateless,NA,other
BRB,A03b,Person is born in Barbados and has always been stateless.,stateless,NA,other
CHN,A03b,Person is born in China to parents who are stateless or of uncertain citizenship and who are settled in China.,stateless,parent-residence,other
CMR,A03b,Person is born in Cameroon and cannot claim any other citizenship at birth.,stateless,NA,other
COD,A03b,Person is born in DRC to parents of unknown citizenship or without citizenship.,stateless,parent-residence,other
COL,A03b,"Person is born in Colombia and is not entitled to citizenship of another country. Legal residence is not required for the child, but the parents have to prove that their country of citizenship does not grant citizenship by descent to the child.",stateless,NA,other
CPV,A03b,"Person is born in Cape Verde and does not have another citizenship, or both parents are stateless or of unknown citizenship and are resident in Cape Verde.",stateless,NA,other
CZE,A03b,"Person is born in the Czech Republic to parents who are both stateless, if at least one of them holds a residence permit (permitting stay longer than 90 days), and provided that the child would otherwise be stateless.;

Person is born in the Czech Republic, did not acquire the citizenship of either of his/her parents and would otherwise remain stateless, provided that at least one of the parents holds a residence permit at the time of the child's birth (permitting a stay longer than 90 days). Provision does not apply if parents can transmit their nationality by contacting the authorities of their home country but fail to do so.

",stateless,father-birth,other
DEU,A03b,"Person is under 21 years of age, stateless since birth, lawfully and habitually resident in Germany for five years, and not convicted for a crime which carries a prison sentence of 5 years or more.",stateless,father-birth,other
DNK,A03b,"Person is a stateless minor who lawfully resides in Denmark. No further requirements. Additional conditions for persons between the age of 18-21: s/he must have resided habitually in the country for 5 years immediately preceding the application (or 8 years in total), not been sentenced for any offence carrying a sentence of five years or more, and not been convicted for offences against national security.",stateless,NA,other
ESP,A03b,"Person is born in Spain to a stateless person, or would otherwise be stateless.",stateless,NA,other
EST,A03b,"Child must be born and permanently resident in Estonia after 26 February 1992 (or before August 20, 1991 as citizen of the USSR) and 'not deemed by any State to be citizens of that State on the basis of any Act in force'. Child under 15 must be born and permanently resident in Estonia. Parents must have been legally resident in Estonia for 5 years and are 'not deemed by any State to be citizens of that State on the basis of any Act in force' (including citizens of the USSR before August 20, 1991). Until the age of 1 (or until 1 Jan 2017), an application can be submitted by the child's parents (or single or adoptive parent) if they do not want Estonian citizenship for their child.",stateless,father-birth,other
FIN,A03b,"Person is born in Finland is not able to acquire the citizenship of another country at birth. Or person is born in Finland to parents with unknown citizenship or out of wedlock to a mother with unknown citizenship and citizenship of another country has not been established before reaching the age of 5.;
Person is born in Finland to parents who have refugee status (or similar status) there and the person does not acquire citizenship of either parent except through registration of his/her birth with the state of citizenship of the parents or through another procedure requiring the assistance of the authorities of that country. Additional requirement in case only one parent has refugee status in Finland: the person does not acquire citizenship of the other parent by birth, nor has a secondary right through birth to acquire it.",stateless,NA,other
FRA,A03b,Person is born to stateless parents or to foreign parents and is not entitled to citizenship of another country.,stateless,NA,other
GAB,A03b,Person is born in Gabon to stateless parents.,stateless,parent-residence,other
GBR,A03b,"Person is born in the UK, under the age of 22, has been stateless since birth and resident in the UK for 5 years (maximum absence from the country for a total of 450 days).",stateless,father-birth,other
GEO,A03b,"Person is born in Georgia to parents who have the status of stateless person, and are permanently resident in Georgia, or to one stateless parent permanently resident in Georgia and the other parent is unknown.",stateless,parent-residence,other
GIN,A03b,"Person is born in Guinea to parents who are unknown, stateless or foreign and person is not entitled to any other citizenship. Person is regarded to never have been a Guinean citizen if it is established during minority that he or she is entitled to a foreign citizenship.",stateless,NA,other
GNB,A03b,"Person is born in Guinea Bissau and does not possess another citizenship, or parents are stateless or of unknown citizenship.",stateless,NA,other
GRC,A03b,Person is born in Greece with unknown citizenship or does not acquire another citizenship at birth.,stateless,NA,other
HRV,A03b,Person is born in Croatia to parents of unknown citizenship or stateless parents.,stateless,parent-residence,other
HTI,A03b,Person is born in Haiti to parents who are of unknown citizenship.,stateless,parent-residence,other
HUN,A03b,"Person born in the territory of the country from resident stateless parents in Hungary.;Person is born in Hungary and legally resident, did not acquire another citizenship by operation of law, and has been resident in the country for 5 continuous years.",stateless,NA,other
IDN,A03b,"Person is born in Indonesia to parents who are of undetermined citizenship, stateless or of undetermined whereabouts.",stateless,parent-residence,other
IRL,A03b,Person is born in Ireland not entitled to another citizenship.,stateless,NA,other
ISL,A03b,"Person is 21 years old or below and is born in Iceland, is stateless and has been resident in Iceland for 3 years since birth.",stateless,father-birth,other
ISR,A03b,"Person is born in Israel, has never held another citizenship, applies for Israeli citizenship between his/her 18 and 21st birthday and has been resident for 5 consecutive years immediately preceding the day of the filing of the application. The application may be denied in case the person was convicted for an offence against the security of the State or to imprisonment for five years or more for another offence.",stateless,father-birth,other
ITA,A03b,"Person is born in Italy to parents who are unknown or stateless, or is not entitled to citizenship of the parents' country.",stateless,parent-residence,other
JPN,A03b,"Person is born in Japan to parents without citizenship.; Person is born in Japan, has been stateless since birth, and has been domiciled in Japan for 3 consecutive years since then. Other conditions: see A06 (except requirements relating to age, full capacity, and means of living).",stateless,parent-residence,other
KAZ,A03b,Person is a child born in Kazachstan to stateless parents who have permanent residence in the country.,stateless,parent-residence,other
KGZ,A03b,Person is a child born in Kyrgyzstan to parents who are both without citizenship and are permanently residing in the country.,stateless,parent-residence,other
KIR,A03b,Person is born in Kiribati after independence day (12 July 1979) and person does not acquire another citizenship.,stateless,NA,other
KNA,A03b,"Person is a minor or adult who was born in St Kitts and has always been stateless.  Other conditions: no danger to public defence, safety or order, no sentence to death or a prison sentence of at least 12 months, good character, not declared bankrupt, sufficient means for self-support, oath of loyalty.",stateless,NA,other
KOR,A03b,Person is born in South Korea to parents without citizenship.,stateless,parent-residence,other
LAO,A03b,"Person is born in Laos to parents who are both stateless, permanently residing in Laos, integrated into Lao society and culture, and the parents request Lao citizenship for the child. Or person is born to a stateless parent and a citizen parent (regardless of their place of residence or place of birth).",stateless,parent-residence,other
LBN,A03b,Person is born in Lebanon and does not acquire any other citizenship at birth.,stateless,NA,other
LIE,A03b,"Person is born in Liechtenstein, has been stateless since birth and has not yet reached the age of 21 years, and has had at least 5 years of continuous legal and main residence in the country.",stateless,father-birth,other
LSO,A03b,"Person is born in Lesotho, falls under one of the exceptions to mode A02a (i.e. one parent has diplomatic status, or the parent is an enemy alien and the child is born in a place controlled by the enemy), and would otherwise be stateless.",stateless,NA,other
LTU,A03b,"Person is born, in Lithuania or abroad, to stateless parents legally residing in Lithuania.",stateless,parent-residence,other
LUX,A03b,Person is born in Luxembourg to parents who are stateless or unable to transfer their citizenship.,stateless,NA,other
LVA,A03b,"Person is a minor, born in Latvia after August 21, 1991 both whose parents are stateless persons (or comparable status 'non-citizens') and the parents have permanent residence in Latvia (with permanent residence permit if arrived after 1 July 1992). Application does not need to be submitted by both parents.;
Person is a minor, born in Latvia after August 21, 1991, has been stateless (or comparable status: 'non-citizen') since birth, and is a permanent resident. Declaration until the age of 15 by legal representative(s) who is (are) also stateless, and has been resident in Latvia for 5 years. From age of 15 and until the age of 18: declaration by person under further condition that he/she is proficient in the language of Latvia (but exceptions under LAT 21), and has not been sentenced for committing a serious crime.;
Person is a minor, born in Latvia after 1 January 2020, both of whose parents are 'non-citizens' , unless the parents have agreed on citizenship of another state or the child is a citizen of another country.;
Person is a minor, born outside Latvia after 1 January 2020 or whose one parent is a citizen of another country and one of whom has non-citizen status. Parents must submit an application for the grant of Latvian citizenship and affirm that the child is not and has not been a citizen of any other country and submit a document issued by a competent authority confirming that the child is not and has not been a citizen of the specific country.


",stateless,parent-residence,other
MDA,A03b,Person is born in Moldova to at least one of the parents who is stateless or a beneficiary of international protection.,stateless,parent-residence,other
MHL,A03b,Person born after date of Constitution (1 May 1979) is a citizen if born in RMI and is not at birth entitled to be or become a citizen of another country.,stateless,NA,other
MKD,A03b,Person is born in Macedonia to parents of unknown citizenship or without citizenship.,stateless,parent-residence,other
MLT,A03b,"Person is born in Malta and has been stateless since birth, is habitually resident in the country for 5 years, and not convicted in any country of an offence against the security of Malta or convicted for a crime which carries a prison sentence of 5 years or more.
",stateless,father-birth,other
MNE,A03b,Person is born in Montenegro to parents of unknown citizenship or stateless.,stateless,parent-residence,other
MNG,A03b,"Person was born to parents who were both stateless and permanently residing in Mongolia, and s/he expresses the wish to acquire citizenship after the age of 16.",stateless,parent-residence,other
MOZ,A03b,Person is born in Mozambique to parents who are stateless or of unknown citizenship.,stateless,parent-residence,other
MWI,A03b,"Person is born in Malawi and has always been stateless or one of parents was a citizen of Malawi at the time of birth, and has been ordinarily resident for at least 3 years. Other conditions: not convicted of an offence or detained for behaviour prejudicial to public security nor sentenced to imprisonment for 5 years.",stateless,father-birth,other
MYS,A03b,"Person is born in Malaysia and does not acquire citizenship of another country. Unless born to a father who is a foreign diplomat, or the father is an enemy alien and the child is born in a place then under occupation by the enemy.",stateless,NA,other
"NAM",A03b,"Person is born in Namibia to a parent who is ordinarily resident in Namibia, and would otherwise be stateless.",stateless,father-birth,other
NLD,A03b,"Person (minor or adult) is born in the Netherlands, has been stateless since birth and resident there for 3 years.",stateless,father-birth,other
NOR,A03b,Person is a recognised stateless person born in Norway. Other conditions of the provision do not apply to a child born in Norway.,stateless,NA,other
NRU,A03b,Person born in Nauru after 31 January 1968 without any nationality may apply to the Cabinet for citizenship.,stateless,NA,other
NZL,A03b,Person is deemed a citizen by birth if born in New Zealand on or after 1 January 1978 and the person would otherwise be stateless.,stateless,NA,other
POL,A03b,Person is born in Poland to stateless parents.,stateless,NA,other
PRK,A03b,Person is born to stateless parents residing in North Korea.,stateless,parent-residence,other
PRT,A03b,Person is born in Portugal and is not entitled to citizenship of another country.,stateless,NA,other
RUS,A03b,Person is born in Russia to foreigners or stateless persons and is not entitled to citizenship of the parents' country.,stateless,NA,other
RWA,A03b,Person is born in Rwanda to stateless parents or cannot acquire the citizenship of one of parents.,stateless,NA,other
SGP,A03b,"Person is born in Singapore to parents who are not citizens. The government may, where it considers it just and fair and having regard to all circumstances prevailing at the time of the application, confer citizenship upon the person.",stateless,NA,other
SRB,A03b,Person is born in Serbia to parents of unknown citizenship or without citizenship or the person is stateless.,stateless,NA,other
STP,A03b,Person is born in STP and does not possess another citizenship or parents are stateless or of unknown citizenship.,stateless,NA,other
SUR,A03b,"Person is born in Suriname and does not have citizenship of another country.;Person is born in Suriname and is stateless. Other conditions: person is resident in Suriname and no danger to public order, morals or health.",stateless,NA,other
SVK,A03b,Person is born in Slovakia to stateless parents or not entitled to the parents' citizenship.,stateless,NA,other
SVN,A03b,Person is born in Slovenia to parents of unknown citizenship or without citizenship.,stateless,parent-residence,other
SWE,A03b,"Person is born in Sweden, under the age of 18, stateless since birth and resident in Sweden with a permanent residence permit. Declaration is made by the guardian(s).",stateless,father-birth,other
SYR,A03b,Person is born in Syria and would otherwise be stateless.,stateless,NA,other
TCD,A03b,Person is born in Chad and has no other citizenship at birth.,stateless,NA,other
TGO,A03b,Person is born in Togo and cannot claim any other citizenship.,stateless,NA,other
TJK,A03b,Person is a child born in Tajikistan to stateless parents and at least one parent permanently resides in the country. Or child is born to parents who are citizens of other countries and the child is not entitled to citizenship of these countries.,stateless,parent-residence,other
TKM,A03b,"Person is a child born in Turkmenistan to stateless parents (or single parent) who habitually reside in the country, or is the child of foreign citizens and cannot acquire the parents' (or single parent) citizenship.",stateless,parent-residence,other
TLS,A03b,Person is born in Timor-Leste to parents who are stateless or of unknown citizenship.,stateless,parent-residence,other
TUN,A03b,Person is born in Tunisia to stateless parents who have resided in Tunisia for at least five years.,stateless,parent-residence,other
TUR,A03b,Person is born in Turkey to foreign parents and child is not entitled to citizenship of another country.,stateless,NA,other
TWN,A03b,Person is born in Taiwan to parents who were both stateless.,stateless,parent-residence,other
UKR,A03b,"Person is born to foreigners who legally reside in Ukraine, and person does not receive the citizenship of his or her parents by birth.  Or person is born in Ukraine to stateless persons who reside legally in Ukraine (no need to prove that no other citizenship was acquired by birth). Or person is born to parents at least one of whom is a recognised refugee, and did not acquire any citizenship by birth, or acquired only the citizenship of the parent who is a refugee.",stateless,NA,other
UZB,A03b,"Person is born in Uzbekistan to stateless parents who are permanently residing in the country.; Person is born in Uzbekistan or proofs that at least one parent, grandfather or grandmother was born in Uzbekistan, and the person does not hold citizenship of another state. Other conditions: see A06 (except residence requirement).",stateless,parent-residence,other
VNM,A03b,"Person is born in Vietnam to parents who are both stateless and have permanent residence in the country, or the child is born in Vietnam to a mother who is stateless and has permanent residence in the country and the father is unknown.",stateless,parent-residence,other
WSM,A03b,"A person born in Samoa but who is not eligible for citizenship, stateless and unable to obtain citizenship in another state may be granted citizenship by birth by Minister",stateless,NA,other
XKX,A03b,Person is born in Kosovo to stateless parents or the child would otherwise be stateless.,stateless,NA,other
ZAF,A03b,Person is born in South Africa and has no right to citizenship of any other country. Other conditions: birth is registered in South Africa in accordance with Births and Deaths Registration Act.,stateless,NA,other
ARG,A09,"Person is the child of a father who acquired citizenship by naturalisation. Other conditions: the person was a minor at the time of the parent's naturalisation, was born abroad and he/she enrols in the National Guard under the age-conditions prescribed by the pertinent law.",NA,NA,parentage
ARM,A09,Peron has a father and/or mother who is/are citizens. Other conditions: see A06 (except residence requirement and language proficiency).,NA,NA,parentage
BEN,A09,"Person is minor child whose father acquired citizenship by naturalisation, or mother if father is unknown or deceased.",NA,age,parentage
BFA,A09,Person is minor child of a person who acquired citizenship (if person has not already acquired citizenship by collective effect under mode A14).,NA,age,parentage
BHR,A09,Person is the minor child of a male citizen who has naturalised.,NA,age,parentage
BHS,A09,One parent must be a citizen and person must be under age 18.,NA,age,parentage
BIH,A09,"Person is a minor who is a permanent or temporary resident of BiH and whose parent acquired citizenship. If older than 14, the child's consent is needed.",NA,age,parentage
BLR,A09,"Person is a child residing permanently in the country and a parent acquired citizenship. Other conditions: commitment  to respect the Constitution and the laws of the country, knowledge of at least one of the official languages, renunciation of other citizenship (unless it is impossible).",NA,age,parentage
BOL,A09,"Person is the child of a citizen. Other conditions: see A06 (residence requirement is reduced to 2 years, and children until the age of 12 are exempt from test regarding Bolivian history).",NA,NA,parentage
BTN,A09,"Person is 15 years or older, one of the parents is a citizen, and the person has been resident in Bhutan for 15 years and this period of residence has been registered in the census. Other conditions: see A06.",NA,NA,parentage
BWA,A09,Person is under the age of 21 years and his/her parent has become a citizen.,NA,age,parentage
CAF,A09,Person is the minor child of a parent who has acquired citizenship if the child has not acquired citizenship automatically under mode A14.,NA,age,parentage
CHE,A09,"Person was a minor when his parent acquired citizenship by naturalisation, is under 22 years and has resided in Switzerland for at least five years, including at least three years immediately prior to making the application. Other conditions: person is successfully integrated (see mode A06) and does not pose a risk to Switzerland's internal or external security.",NA,NA,parentage
CHL,A09,"Person's parent has become a citizen by naturalisation. Other conditions: person has reached the age of majority, has lived for a continuous period of at least 5 years in Chile, is entitled to permanent residence. Other conditions: see A06.",NA,NA,parentage
CHN,A09,"Person is a close relative of a citizen. Other conditions: willing to abide by China's Constitution and laws, and renunciation of citizenship of another country.",NA,NA,parentage
CMR,A09,Person is the minor or adult child of a person who has reacquired Cameroonian citizenship.,NA,NA,parentage
CYP,A09,Person is a minor child of a parent or guardian who is a citizen.,NA,age,parentage
CZE,A09,Person is the child of a citizen. Other conditions: see A06 (residence requirement can be waived). Other conditions can be waived at the discretion of the authorities if the child is a minor.,NA,age,parentage
DMA,A09,Person is the child of a citizen. Other conditions: must have resided in Dominica for at least 3 years preceding date of application. Oath of allegiance. Section 100(1)c of Constitution cannot apply.,NA,age,parentage
EST,A09,"Person is a minor under the age of 15 whose parents are citizens who apply for naturalisation of the child (or the child's single parent who is a citizen applies for naturalisation). If only one parent is a citizen, the parent who is not a citizen must officially agree.",NA,age,parentage
FIN,A09,"Person's parent or guardian is a citizen and makes an application on behalf of the minor person who lives with the parent or guardian. If these conditions are not met, naturalisation is possible on the basis of a weighty reason related to the best interests of the child. No further residence and language requirements if the child is under the age of 15 and permanently resident in Finland. If the child is 15, 16 or 17 years and permanently resident in Finland, he/she must have resided there for the last 4 years without interruption or a total of 6 years since the age of 7, with the last 2 years uninterrupted. 2 years of residence is sufficient if the child is a citizen of a Nordic country or a former Finnish citizen. Other conditions: see A06.",NA,age,parentage
