iso3,mode_id,specification,definition,restriction_warning,wing
SVN,A06c,Knowledge of Slovenian language required.,NA,NA,residence
SWZ,A06c,Knowledge of SiSwati or English required,NA,language-requirement-no-test,residence
SYR,A06c,Person can read and write Arabic.,NA,language-requirement-no-test,residence
TGO,A06c,Person must be assimilated to Togolese community especially by knowledge of a Togolese language.,NA,language-requirement-no-test,residence
TJK,A06c,Knowledge of the language (level of communication),NA,language-requirement-no-test,residence
TKM,A06c,Knowledge of the official language (communication level) required.,NA,language-requirement-no-test,residence
TLS,A06c,Ability to speak one of the official languages required.,NA,language-requirement-no-test,residence
TON,A06c,Adequate knowledge of Tongan language required.,NA,language-requirement-no-test,residence
TTO,A06c,Adequate knowledge of English required.,NA,language-requirement-no-test,residence
TUN,A06c,Sufficient knowledge of Arabic language required.,NA,language-requirement-no-test,residence
TUR,A06c,Sufficient knowledge of the Turkish language.,NA,language-requirement-no-test,residence
TWN,A06c,Basic knowledge of the country's language,NA,language-requirement-no-test,residence
TZA,A06c,Adequate knowledge of Swahili or English required.,NA,language-requirement-no-test,residence
UGA,A06c,Adequate knowledge of prescribed vernacular language or English required.,NA,language-requirement-test,residence
UKR,A06c,Language proficiency required.,NA,language-requirement-no-test,residence
USA,A06c,Knowledge of fundamentals of the English language required (test).,NA,language-requirement-test,residence
VCT,A06c,Adequate knowledge of English and of the duties of a citizen,NA,language-requirement-no-test,residence
VNM,A06c,Sufficient knowledge of the Vietnamese language to allow for integration into society,NA,language-requirement-no-test,residence
VUT,A06c,Sufficient understanding of local language/s,NA,language-requirement-test,residence
XKX,A06c,Elementary knowledge of one of the official languages of Kosovo (Albanian or Serbian) required.,NA,language-requirement-no-test,residence
ZAF,A06c,Person can communicate in one of the official languages.,NA,language-requirement-no-test,residence
AGO,A06d,"Person has effective link to national community proved by exam, adequate knowledge of rights and duties under the constitution.",NA,civic-requirement-no-test,residence
ARM,A06d,Familiarity with the Constitution of the Republic of Armenia required.,NA,NA,residence
AUS,A06d,Person is required to sit a citizenship test (English language skills and knowledge about Australia and Australian citizenship).,NA,civic-requirement-no-test,residence
AUT,A06d,Person has knowledge of Austrian democratic order and history and of the federal province responsible for the administration of naturalisation (naturalisation test).,NA,civic-requirement-no-test,residence
AZE,A06d,Commitment to abide by the Constitution.,NA,NA,residence
BDI,A06d,Attachment to the Burundian nation and assimilation with Burundian citizens required.,NA,NA,residence
BEL,A06d,"Person has adequate social integration and work participation, unless person demonstrates that he/she cannot work due to a handicap or invalidity or is retired.
",NA,civic-requirement-no-test,residence
BEN,A06d,Person must be assimilated to Beninois community.,NA,NA,residence
BHS,A06d,Condition of sufficient knowledge of the duties of a citizen and oath of allegiance required.,NA,NA,residence
BIH,A06d,Person signs a statement accepting the legal system and constitutional order of BiH.,NA,NA,residence
BLR,A06d,Person commits to respect the Constitution and the laws of the country.,NA,NA,residence
BOL,A06d,Person has passed a written examination of general knowledge concerning Bolivian history.,NA,civic-requirement-no-test,residence
BTN,A06d,"Good  knowledge of culture, customs, traditions and history of Bhutan.",NA,NA,residence
CAN,A06d,Knowledge of Canada and the responsibilities and privileges of citizenship required. Person must attend a citizenship ceremony and take a citizenship oath.,NA,civic-requirement-no-test,residence
CHE,A06d,"Person is  successfully integrated (entails showing respect for public security and order, respecting the values enshrined in the Constitution, participating in economic life or acquiring an education, and encouraging and supporting the integration of one<d5>s spouse, partner or minor children), familiar with Swiss way of life. Canton may provide for additional criteria for integration. Various cantons also require an oath of allegiance at the citizenship ceremony.",NA,civic-requirement-no-test,residence
COG,A06d,Assimilation to the Congolese community required.,NA,NA,residence
COL,A06d,"Knowledge of basic principles of the Constitution, history and geography of Colombia (except for those who have had secondary or university education in Colombia, or who are older than 65 years).",NA,NA,residence
COM,A06d,Person must be assimilated to Comorian community.,NA,NA,residence
CRI,A06d,Knowledge of the history of Costa Rica and its values.,NA,NA,residence
CYP,A06d,Published loyalty oath to the country required.,NA,NA,residence
CZE,A06d,"Civic knowledge test and integration in society.



",NA,civic-requirement-no-test,residence
DEU,A06d,"Express commitment to the Constitution (declaration of loyalty), knowledge of the German legal and societal system required (if person naturalises on a discretionary basis, he/she has to be integrated into German living conditions and naturalisation by discretion (<a4> 8 StAG) can only take place if identity and nationality of the applicant are settled).",NA,civic-requirement-no-test,residence
DMA,A06d,Adequate knowledge of the duties of a citizen.,NA,NA,residence
DNK,A06d,"Knowledge of society (citizenship test), and oath of loyalty to society, laws and legal principles of Denmark plus obligatory participation in a citizenship ceremony following the Parliament's adoption of the naturalisation act.",NA,civic-requirement-no-test,residence
DZA,A06d,Person must be integrated in the Algerian society.,NA,NA,residence
ECU,A06d,Knowledge of the national symbols.,NA,NA,residence
ESP,A06d,Adequate social integration (by means of language and civic tests) required.,NA,civic-requirement-no-test,residence
EST,A06d,"Knowledge of the Constitution and the Citizenship Act (citizenship test), loyalty to the country required.",NA,civic-requirement-no-test,residence
FRA,A06d,Assimilation required (especially language skills and knowledge of the rights and duties attached to French citizenship).,NA,civic-requirement-no-test,residence
GBR,A06d,"Sufficient knowledge about life in the UK required (test), oath of allegiance at citizenship ceremony.",NA,civic-requirement-no-test,residence
GEO,A06d,"Knowledge of the history and the basic principles of the law. If person is a beneficiary of support ex Art. 12 Civil Code (i.e. has a serious psychosocial, mental or intellectual disorder), he/she is exempted from language requirement, civic knowledge requirement and income requirement.",NA,NA,residence
GHA,A06d,Person is assimilated into the Ghanaian way of life.,NA,NA,residence
GIN,A06d,Person must have sufficient knowledge of Guinean culture and society and adhere to the values and essential principles of the Guinean Republic.,NA,NA,residence
GNB,A06d,Person must have knowledge of the culture and identification with it. Acquisition of nationality can be opposed if person does not have sufficient ties to the national community.,NA,NA,residence
GNQ,A06d,"Person must demonstrate integration through knowledge of the culture, habits and customs of Equatorial Guinea",NA,NA,residence
GRC,A06d,Sufficient knowledge of the history and culture of Greece required.,NA,NA,residence
GTM,A06d,Civic knowledge test and oath of loyalty.,NA,civic-requirement-no-test,residence
HND,A06d,"General knowledge of the history, geography and constitution of Honduras.",NA,NA,residence
HRV,A06d,"Person is familiar with Croatian culture (except if person is older than 60) and respects for the legal order, customs and culture of the country.",NA,NA,residence
HUN,A06d,Knowledge of constitutional issues (citizenship test).,NA,civic-requirement-no-test,residence
KEN,A06d,Person has adequate knowledge of Kenya and rights and duties of citizens.,NA,NA,residence
KHM,A06d,"Knowledge of Khmer script and history, evidence that person can integrate into Khmer society.",NA,NA,residence
KIR,A06d,"Respect for customs and traditions of Kiribati, reasonable knowledge and understanding of the rights, privileges, responsibilities and duties of citizenship required.",NA,NA,residence
KOR,A06d,Basic knowledge of Korean language and customs.,NA,NA,residence
LAO,A06d,"Social and cultural integration required, respect the Constitution and laws of the country, social and cultural integration, written and oral fluency in Lao.",NA,NA,residence
LCA,A06d,Adequate knowledge of English and of the duties of a citizen.,NA,NA,residence
LIE,A06d,Integration test required.,NA,civic-requirement-no-test,residence
LTU,A06d,Knowledge of basic provisions of the Constitution required.,NA,NA,residence
LUX,A06d,Person must attend course 'Living together in the Grand Duchy of Luxembourg' or pass the test of this course.,NA,civic-requirement-no-test,residence
LVA,A06d,"Knowledge of basic principles of the Constitution, national anthem and history of the country, and pledge of loyalty to Latvia required. Pledge loyalty to Latvia.",NA,NA,residence
MDA,A06d,Person has knowledge of the provisions of the Constitution of Moldova (citizenship test).,NA,civic-requirement-no-test,residence
MDG,A06d,Person must be assimilated to the community,NA,NA,residence
MEX,A06d,Knowledge of Mexican history and integration in the national culture (both not applicable to minors and persons older than 60).,NA,NA,residence
MHL,A06d,"Understanding and respect for the customs and traditions of RMI. Reasonable knowledge and understanding of the Constitution of the Marshall Islands and the rights, privileges, responsibilities and duties of citizenship (written test).",NA,civic-requirement-no-test,residence
MKD,A06d,Oath of loyalty required.,NA,NA,residence
MLI,A06d,Person must be integrated into Malian community,NA,NA,residence
MNG,A06d,Proper knowledge of Mongolian customs and language required.,NA,NA,residence
MUS,A06d,Adequate knowledge of the responsibilities of a citizen required,NA,NA,residence
"NAM",A06d,Adequate knowledge of responsibilities and privileges of Namibian citizenship required,NA,NA,residence
NGA,A06d,Person is assimilated into the way of life of people in that part of the Federation.,NA,NA,residence
NLD,A06d,Knowledge of Dutch society (citizenship test) and declaration of solidarity required.,NA,civic-requirement-no-test,residence
NOR,A06d,Person must pass a civic integration test.,NA,civic-requirement-no-test,residence
NZL,A06d,Person must have sufficient knowledge of the responsibilities and privileges of citizenship.,NA,NA,residence
PAN,A06d,"Basic knowledge of the geography, history and political organization of Panama.",NA,NA,residence
PHL,A06d,"Belief in the principles underlying the Constitution, enrol any minor children in a school where Philippine history, government and civics are taught. Not eligible for naturalisation are persons who are opposed to organised government, defend or teach the use of violence for the success and predominance of their ideas, believe in the practice of polygamy, have been convicted of crimes involving moral turpitude, suffer from mental alienation or incurable contagious diseases, have not mingled socially with Filipinos during their residence in the Philippines, have not shown a desire to learn and embrace Filipino customs.",NA,NA,residence
PNG,A06d,"Respect for customs and cultures of the country, reasonable knowledge and understanding of the rights, privileges, responsibilities and duties of citizenship.",NA,NA,residence
PRT,A06d,Existence of an effective link with the national community required.,NA,NA,residence
PRY,A06d,"Basic knowledge of the history and geography of the country, and of the constitutional provisions dealing with loss of Paraguayan citizenship.",NA,NA,residence
ROU,A06d,"Knowledge of the country's culture, history, Constitution and national anthem required.",NA,NA,residence
RUS,A06d,Person must take an oath of loyalty.,NA,NA,residence
RWA,A06d,Person must respect Rwandan culture and be patriotic,NA,NA,residence
SLB,A06d,"Person respects the culture and way of life, understands the rights, privileges, responsibilities and duties of citizenship.",NA,NA,residence
STP,A06d,State may oppose if person is not integrated into STP society,NA,NA,residence
TLS,A06d,"Moral and civic guarantees of integration into Timorese society required, knowledge of the history and culture of Timor-Leste required.",NA,NA,residence
TTO,A06d,"Adequate knowledge of the duties of a citizen required, oath of allegiance.",NA,NA,residence
TUV,A06d,Familiarity with the laws and customs of Tuvalu.,NA,NA,residence
TWN,A06d,Basic knowledge of the rights and duties of a citizen.,NA,NA,residence
UKR,A06d,Respect for the laws of Ukraine required.,NA,NA,residence
USA,A06d,Knowledge of  the history and form of government of the United States required.,NA,civic-requirement-no-test,residence
VCT,A06d,Adequate knowledge of English and of the duties of a citizen,NA,NA,residence
VNM,A06d,"Obey the Constitution and laws and respect the traditions, customs and practices of Vietnam, having a Vietnamese name.",NA,NA,residence
VUT,A06d,"Respect for the culture and the ways of life of Vanuatu, reasonable knowledge and understanding of the rights, privileges, responsibilities and duties of citizens.",NA,civic-requirement-no-test,residence
WSM,A06d,Person understands the responsibilities and privileges of being a citizen of Samoa.,NA,NA,residence
XKX,A06d,"Respect for constitutional and legal order of Kosovo, integration into society and elementary knowledge of culture and social order required.",NA,NA,residence
ZAF,A06d,Adequate knowledge of responsibilities and privileges of citizenship required.,NA,NA,residence
AFG,A06e,No crime committed during his/her stay in Afghanistan.,NA,crimes,residence
AGO,A06e,Person is not convicted of crime punishable by more than 3 years in prison.,NA,crimes,residence
ALB,A06e,"Person is not a danger to security and defence of Albania, no sentence in any country for a criminal offence that carries a prison sentence of at least 3 years (exemption only if the sentence was given for political motives).",NA,crimes-general-moral-character,residence
ARE,A06e,"Person must have good character, not convicted for crimes of dishonour (unless person has been rehabilitated), obtained security approval.",NA,crimes-general-moral-character,residence
ARG,A06e,"No convictions for a crime committed in Argentina or abroad that carries a prison sentence of 3 years or more (unless the sentence has been served and the application for naturalisation is submitted 5 years after serving the sentence, or when amnesty has been granted), no criminal proceedings initiatives against the person in Argentina or abroad. Judge may deny naturalisation if the applicant publicly advocates the overthrow of the democratic system, the use of violence, or denies the value of the human rights system.",NA,crimes,residence
ARM,A06e,"Person's activities may not violate state and social security, public order, protection of the public health and traditions or rights, freedoms, dignity and good reputation of others.",NA,moral-character,residence
ATG,A06e,"Person must be of good character. Minister may refuse to grant citizenship in interest of public safety, morality, order and defence. Minister is explicitly allowed to waive certain requirements.",NA,moral-character,residence
AUS,A06e,Person must be of good character at the time of the Minister's decision.,NA,moral-character,residence
AUT,A06e,"Person has no criminal convictions, the granting of citizenship must not have an adverse impact on the international relations of the Republic of Austria and the person must have an <d4>affirmative attitude towards the Republic of Austria<d5>, and he or she must not represent a danger to public law, order and security including any other public interest that is covered by Art. 8(2) ECHR.",NA,crimes-general-moral-character,residence
AZE,A06e,"Application is rejected if the person calls for forcible change of the state structure set by the Constitution of the Azerbaijan Republic, for disturbing its territorial integrity, performs activities that cause damage to state security, public order, the health and morality of the population, propagandises racial, religious and national hatred, or has relations with terrorist activities.",NA,crimes,residence
BDI,A06e,"Person is of good conduct, behaviour and customs, no convictions for crime or other offence.",NA,crimes-general-moral-character,residence
BEL,A06e,Person has been convicted for a serious criminal offence.,NA,crimes,residence
BEN,A06e,"Good conduct, never convicted with prison sentence of more than 1 year",NA,crimes-general-moral-character,residence
BFA,A06e,"Person is of good character, no criminal convictions for more than 1 year in prison.",NA,crimes-general-moral-character,residence
BGD,A06e,Person must be of good character.,NA,moral-character,residence
BGR,A06e,No convictions of intentional crime and no pending criminal proceedings against the person.,NA,crimes-general-moral-character,residence
BHR,A06e,Person must have good character.,NA,moral-character,residence
BHS,A06e,Person must be of good character.,NA,moral-character,residence
BIH,A06e,"Person was not expelled from BiH by the competent authority, was not sentenced to imprisonment for more than 3 years within the 8 years preceding the request, no ongoing criminal procedure against the person (unless unreasonable to request a proof thereof), no threat to security of BiH.",NA,crimes,residence
BLR,A06e,Person does not have a criminal record.,NA,crimes,residence
BLZ,A06e,"Conditions of good character, no conviction for serious criminal offences, no threat to safety or public order of Belize.",NA,crimes-general-moral-character,residence
BOL,A06e,Person has no criminal record.,NA,crimes,residence
BRA,A06e,Person may not have been convicted in Brazil or abroad unless person has been rehabilitated.,NA,crimes,residence
BRB,A06e,Person must be of good character.,NA,moral-character,residence
BRN,A06e,Good character required.,NA,moral-character,residence
BTN,A06e,"Good character, no record of imprisonment for criminal offences in Bhutan or abroad, no record of having spoken or acted against the king, country and people of Bhutan.",NA,crimes-general-moral-character,residence
BWA,A06e,Person has good character.,NA,moral-character,residence
CAN,A06e,"No extradition order may have been issued against the person, no danger to public security (as defined in CAN 22).",NA,crimes,residence
CHE,A06e,Person may not pose a risk to Switzerland<d5>s internal or external security.,NA,moral-character,residence
CHL,A06e,"No convictions for delicts or crimes and no criminal proceedings initiatives against the person for such offences. No danger to social and political order, good morals, and no threat to Chilean interests and security.",NA,crimes-general-moral-character,residence
CIV,A06e,"Person is of good conduct. Any expulsion or house arrest must have been annulled, and house arrest or period of imprisonment does not count towards residence period.",NA,crimes-general-moral-character,residence
CMR,A06e,"Person is of good character, not convicted of crime.",NA,crimes-general-moral-character,residence
COG,A06e,"Person must have good character, not convicted to imprisonment for more than one year or for certain crimes.",NA,crimes-general-moral-character,residence
COM,A06e,Person must be of good character.,NA,moral-character,residence
CPV,A06e,Person is of good character.,NA,moral-character,residence
CRI,A06e,"Good behaviour, clean criminal record, no conviction in Costa Rica or abroad for any of the listed offences (including drug smuggling).",NA,crimes-general-moral-character,residence
CYP,A06e,Person must have good character.,NA,moral-character,residence
CZE,A06e,"Clear criminal record, no risk to security of the state, life, health or material values.
",NA,crimes-general-moral-character,residence
DEU,A06e,"No activities hostile to the Constitution, person may not have been convicted for certain crimes (minor offenses excepted).",NA,crimes,residence
DJI,A06e,"Person is of good character, no convictions for crime against state security, no convictions for crime against state security, no convictions for various other offences (including related to fraud) and sentenced to more than 6 months imprisonment, not subject to expulsion or house arrest.",NA,crimes-general-moral-character,residence
DMA,A06e,Person must be of good character.,NA,moral-character,residence
DNK,A06e,No criminal indictments or convictions.,NA,crimes,residence
DZA,A06e,"Person must be of good character, not have been condemned to any sentence that involves the loss of civil rights.",NA,moral-character,residence
ECU,A06e,No convictions for a crime as established in the Rome Statute of the International Criminal Court or a crime that is punishable under Ecuadorian law with a prison sentence of five years or more.,NA,crimes,residence
EGY,A06e,"Good conduct and reputation required, no criminal penalty restricting freedom for a crime of honour.",NA,crimes-general-moral-character,residence
ERI,A06e,"High integrity and not convicted of any crime required, may not have not committed anti-people acts during the Eritrean liberation struggle.",NA,crimes-general-moral-character,residence
ESP,A06e,Good civic conduct required.  Denial of citizenship must be based on reasons of public order and national interest.,NA,moral-character,residence
ETH,A06e,"Person must be of good character, no criminal convictions.",NA,crimes-general-moral-character,residence
FIN,A06e,"Person has not committed a punishable act (unless the punishment has been a summary penal fee) nor has a restraining order been issued against him/her. A person meeting all requirements will not be naturalised if there is a justified reason for suspecting that naturalising the person jeopardises the State's security or public order, or the main aim of naturalisation is to take advantage of a benefit related to Finnish citizenship without any purpose to reside in Finland, or if naturalisation is otherwise against the interest of the State for a weighty reason and in light of the overall consideration of the person's situation. Section 19: Exceptions to the integrity requirement.",NA,crimes,residence
FJI,A06e,Good character,NA,moral-character,residence
FRA,A06e,"Good character required, no criminal convictions of a certain kind.",NA,crimes-general-moral-character,residence
GAB,A06e,"Good character required, person may not have criminal convictions.",NA,crimes-general-moral-character,residence
GBR,A06e,Good character required.,NA,moral-character,residence
GEO,A06e,Positive security check (i.e. person may not have committed certain crimes or be suspected by law enforcement agencies of having committed such crimes or pose a threat to state/public security).,NA,crimes,residence
GHA,A06e,"Person has good character, not sentenced in Ghana or elsewhere to imprisonment.",NA,crimes-general-moral-character,residence
GIN,A06e,Person must be of good character and may not have been convicted to a prison sentence of more than one year (unless the sentence has been suspended). Person may not have been convicted for an act against the fundamental interests of the nation or terrorism or to a prison sentence of more than six months (unless the sentence has been suspended). Person may not be subjected to an expulsion order or entry ban and may not have resided in Guinea irregularly.,NA,crimes-general-moral-character,residence
GMB,A06e,Person must be of good character.,NA,moral-character,residence
GNB,A06e,"Acquisition of citizenship can be opposed if person has been convicted to sentence of more than 6 years imprisonment or for a crime against the security of the state, not exercised political or sovereign functions in favour of another state.",NA,crimes,residence
GNQ,A06e,"No convictions for a serious crime in another country  (Note: there are other conditions that appear procedural but could be seen as substantive, eg certificate of good conduct (corresponds to no convictions.)",NA,crimes,residence
GRC,A06e,No criminal record of certain crimes.,NA,crimes,residence
GRD,A06e,Requirement of good character.,NA,moral-character,residence
GTM,A06e,Good behaviour required.,NA,moral-character,residence
GUY,A06e,Person must be of good character.,NA,moral-character,residence
HND,A06e,"Good behaviour, clean criminal record (both abroad and in Honduras).",NA,crimes-general-moral-character,residence
HRV,A06e,No security obstacles.,NA,moral-character,residence
HUN,A06e,"Clean criminal record required, no threat to Hungarian interests.",NA,crimes-general-moral-character,residence
IDN,A06e,Person has never been prosecuted for acts of crime and sentenced to prison for 1 year or more.,NA,crimes,residence
IND,A06e,Good character required.,NA,moral-character,residence
IRL,A06e,Good character required.,NA,moral-character,residence
IRN,A06e,Person may not have been subjected to a criminal judgement (excluding political offences),NA,crimes,residence
IRQ,A06e,"Person is of good character, has not been convicted for a crime or an offence against public morality.",NA,crimes-general-moral-character,residence
ISL,A06e,"No criminal convictions, good reputation required.",NA,crimes-general-moral-character,residence
ITA,A06e,Person may not have a problematic criminal record.,NA,crimes,residence
JAM,A06e,Person must be of good character.,NA,moral-character,residence
JOR,A06e,Person may not have been convicted for offences that violate honor and morals. Person is of good conduct and has a good reputation.,NA,crimes-general-moral-character,residence
JPN,A06e,Good character required. Person may not have advocated the overthrow of the Constitution or the Government of Japan.,NA,crimes-general-moral-character,residence
KAZ,A06e,Security and public policy checks required (list of reasons for refusal).,NA,crimes,residence
KEN,A06e,"Person has not convicted and sentenced to term of imprisonment of 3 years or more, and country of previous citizenship is not at war with Kenya.",NA,crimes,residence
KGZ,A06e,Person must meet security and public policy checks (list of reasons for refusal).,NA,crimes,residence
KHM,A06e,"Good morals, clean criminal record",NA,crimes-general-moral-character,residence
KIR,A06e,Good character required.,NA,moral-character,residence
KNA,A06e,Person must be of good character.,NA,moral-character,residence
KOR,A06e,"Good character required. Person may not harm nationality security, public order or public welfare.",NA,moral-character,residence
LAO,A06e,"Not sentenced to imprisonment by any court, protect and develop the country, cause no harm to the national interest.",NA,crimes-general-moral-character,residence
LBY,A06e,Person must be of good character.,NA,moral-character,residence
LCA,A06e,Person must be of good character.,NA,moral-character,residence
LIE,A06e,Person must fulfil security requirements listed in LIE 4b.,NA,crimes,residence
LSO,A06e,Person must be of good character.,NA,moral-character,residence
LTU,A06e,"No circumstances by reason of which citizenship shall not be granted should be present, e.g. person committed international crimes such as aggression, genocide, crimes against humanity and war crime.",NA,crimes,residence
LUX,A06e,Absence of certain crimes on a criminal record required.,NA,crimes,residence
MAR,A06e,Good character required. Person may not have been convicted for certain crimes.,NA,crimes-general-moral-character,residence
MDA,A06e,"Grant of citizenship can be refused if person has committed international or military crimes or crimes against humanity, was involved in terrorist activity, has been sentenced to imprisonment and has a criminal record or is under criminal investigation, or carries out activities that threaten state security, public order, health or morality.",NA,crimes,residence
MDG,A06e,Person must be of good character.,NA,moral-character,residence
MEX,A06e,No prison sentence for a criminal act committed in Mexico or abroad.,NA,crimes,residence
MHL,A06e,Good character required.,NA,moral-character,residence
MKD,A06e,"No convictions in Macedonia or another country of which the person is a national for committing a crime that carries a prison sentence of 1 year or more, no criminal procedure initiated in either of those countries, not sentenced to a measure prohibiting residence in Macedonia, no threat to national security or defense.",NA,crimes,residence
MLI,A06e,"Person must be of good character, not convicted to sentence of more than 1 year imprisonment.",NA,crimes-general-moral-character,residence
MLT,A06e,Person must have good character and be deemed suitable to be a citizen.,NA,moral-character,residence
MNE,A06e,Person may not be a threat to the security of the country.,NA,moral-character,residence
MNG,A06e,"Person may not have committed any criminal acts during the 5-year period, and acquisition of citizenship may not prejudice the reputation and interests of Mongolia. Mongolian citizenship shall be refused if person (1) committed a crime against humanity, (2) conducted an activity against the national security or vital interests of Mongolia, (3) has been claimed as a member of an international terrorist organisation, (4) has been determined by court to be a dangerous criminal, (5) is serving a sentence, (6) has been deported from the territory of Mongolia, and (7) when the person advertises a religion that inconsistent with the Mongolian national customs and law.",NA,crimes-general-moral-character,residence
MOZ,A06e,Civil probity required.,NA,moral-character,residence
MRT,A06e,Person must be of good character.,NA,moral-character,residence
MUS,A06e,Person must be of good character.,NA,moral-character,residence
MWI,A06e,Person must be of good character.,NA,moral-character,residence
MYS,A06e,Good character required.,NA,moral-character,residence
"NAM",A06e,"Person must be of good character, not convicted of an offence listed in schedule to act.",NA,crimes-general-moral-character,residence
NER,A06e,Person must be of good character.,NA,moral-character,residence
NGA,A06e,"Person has good character, in opinion of governor of state where to be resident is acceptable to the local community.",NA,moral-character,residence
NIC,A06e,Certificate of good conduct (provided by police).,NA,crimes,residence
NLD,A06e,"Person may not be a threat to public order, public decency or safety.",NA,crimes,residence
NOR,A06e,"If the applicant has been sentenced to punishment, a certain time must have lapsed before naturalisation is possible. There is no right to naturalisation if this goes against the state's vital interests or foreign policy considerations.",NA,crimes-general-moral-character,residence
NZL,A06e,Good character required (disqualifying convictions listed in NEZ 9A).,NA,crimes,residence
OMN,A06e,"Person has good character, not convicted of crime or offence in breach of trust or honor.",NA,crimes-general-moral-character,residence
PAK,A06e,Good character required.,NA,moral-character,residence
PAN,A06e,"Naturalisation can be denied for reasons of morality, safety, health, and physical or mental incapacity.",NA,moral-character,residence
PER,A06e,"Clean criminal record, and good behaviour and morals.",NA,moral-character,residence
PHL,A06e,"Good moral character, irreproachable conduct required.Not eligible for naturalisation are persons who are opposed to organised government, defend or teach the use of violence for the success and predominance of their ideas, believe in the practice of polygamy, have been convicted of crimes involving moral turpitude, suffer from mental alienation or incurable contagious diseases, have not mingled socially with Filipinos during their residence in the Philippines, have not shown a desire to learn and embrace Filipino customs.",NA,crimes-general-moral-character,residence
PNG,A06e,Good character required.,NA,moral-character,residence
POL,A06e,Person may not be a threat to the external security or defense of the state or to the public security and order.,NA,crimes,residence
PRT,A06e,"No convictions for committing a crime punished with a prison sentence of 3 or more years, no danger or threat to security or national defence, for involvement in activities related to the practice of terrorism.",NA,crimes,residence
PRY,A06e,Good behaviour required.,NA,moral-character,residence
QAT,A06e,Good character required.,NA,moral-character,residence
ROU,A06e,"Good behaviour and loyalty to Romania, no threat to national security.",NA,moral-character,residence
RUS,A06e,Person must observe the laws of Russia. Naturalisation can be rejected due to the person's criminal record and participation in anti-state or terrorist activities.,NA,crimes,residence
RWA,A06e,"Person must be of good behaviour and morals, not convicted to imprisonment of 6 months or more, not subject to a non-cancelled expulsion, not characterised by genocide ideology.",NA,crimes-general-moral-character,residence
SAU,A06e,Person must be of good character and may not have been sentenced to imprisonment for more than six months for an offence related to public order and morality.,NA,crimes-general-moral-character,residence
SDN,A06e,Good morals and not convicted of a crime against honour or honesty.,NA,crimes-general-moral-character,residence
SEN,A06e,"Good character, not convicted of a crime punishable by imprisonment, not expelled.",NA,crimes-general-moral-character,residence
SGP,A06e,Good character required.,NA,moral-character,residence
SLB,A06e,Good character required.,NA,moral-character,residence
SLE,A06e,Person has good character.,NA,moral-character,residence
SLV,A06e,Person manifests the will to adhere to the law and authorities of El Salvador.,NA,moral-character,residence
SOM,A06e,Good civil and moral conduct.,NA,moral-character,residence
SSD,A06e,Person is not convicted of any offence related to honesty and moral turpitude or other serious offence.,NA,crimes,residence
STP,A06e,State may oppose if person has carried out acts against sovereignty of the state or has committed a crime punishable by a serious penalty under STP law.,NA,crimes,residence
SVK,A06e,"Good character, no criminal procedure initiated against the person.",NA,crimes-general-moral-character,residence
SVN,A06e,"Person may not have a criminal record, not pose a threat to public order, security or national defence.",NA,moral-character,residence
SWE,A06e,Person has led and can be expected to lead a respectable life.,NA,moral-character,residence
SYR,A06e,"Good character, may not have been convicted for a dishonoring crime.",NA,crimes-general-moral-character,residence
TCD,A06e,No conviction for crime subject to imprisonment.,NA,crimes,residence
TGO,A06e,"Person is of good character, not sentenced to imprisonment for more than 2 years.",NA,crimes-general-moral-character,residence
TJK,A06e,Person is not under criminal prosecution.,NA,crimes,residence
TKM,A06e,Person must meet security and public policy checks (list of reasons for refusal).,NA,crimes,residence
TON,A06e,Good character required.,NA,moral-character,residence
TTO,A06e,Person must be of good character.,NA,moral-character,residence
TUN,A06e,"Person must be of good character, may not have been convicted to a prison sentence of more than 1 year, unless he/she has been rehabilitated, and foreign convictions can be disregarded.",NA,crimes-general-moral-character,residence
TUR,A06e,"Good morals, not pose a threat to national security and public order.",NA,moral-character,residence
TUV,A06e,Good character required.,NA,moral-character,residence
TWN,A06e,"Good conduct, clean criminal record",NA,crimes-general-moral-character,residence
TZA,A06e,Good character required.,NA,moral-character,residence
UGA,A06e,Person must be of good character.,NA,moral-character,residence
UKR,A06e,Person may not be convicted for grave crimes.,NA,crimes,residence
USA,A06e,Good morals required (as defined by INA 101(f) and 8 CFR 316.10),NA,moral-character,residence
UZB,A06e,"Not a member of parties and other organisations whose activity is incompatible with the constitutional principles of the country, not been convicted and not serving a prison sentence.",NA,crimes,residence
VCT,A06e,Condition of good character.,NA,moral-character,residence
VUT,A06e,"Good character required. Person may not be involved in the financing of a terrorist act or funding of political instability in Vanuatu, not have been removed from Vanuatu under the Immigration Act, not have been convicted of any offence carrying a maximum penalty of imprisonment for 12 months or more in Vanuatu or other jurisdiction.",NA,crimes-general-moral-character,residence
WSM,A06e,Good character required.,NA,moral-character,residence
ZAF,A06e,Person must be of good character.,NA,moral-character,residence
ZMB,A06e,"Person has not been convicted of an offence and sentenced to imprisonment, nor declared a prohibited immigrant nor would approval be contrary to public interest",NA,crimes,residence
ZWE,A06e,"Person is of good character, fit and proper person.",NA,moral-character,residence
AGO,A06f,Person is able to govern him/herself and secure subsistence (evidenced by regular tax payment in previous 3 years).,NA,economic-resources,residence
ALB,A06f,Person has dwelling and sufficient income.,NA,economic-resources,residence
ARE,A06f,"Legitimate means of income, educational qualification required.",NA,economic-resources,residence
ARG,A06f,Honest source of income or occupation.,NA,economic-resources,residence
